 Procedimentos hospitalares do SUS - por local de internação - Santa Catarina
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"421030 Major Vieira";19072,64;24140,06;24479,10;28558,89;23287,61;27064,75;23041,31;27044,68;24191,94;24997,09;26963,22;20296,51;18670,89;25956,83;29715,48;29610,84;41732,44;30843,51;47736,12;36575,56;36477,14;32007,28;32223,97;46322,06;29646,15;28844,21;35064,17;37005,77;25686,86;25043,08;23336,90;26709,40;25380,31;33397,20;26712,07;27238,03;27443,91;37693,58;29307,89;33844,55;39728,24;31727,09;30362,01;27056,14;31054,36;29439,18;38385,61;38009,17;28042,39;23013,60;30377,67;30858,18;26179,09;30324,02;36656,99;25704,07;30833,06;27979,28;25858,89;23095,33;29116,52;35628,66;29229,76;25807,42;26916,03;31304,58;37682,80;35055,64;28361,06;38170,16;47427,14;27529,27;41647,32;38841,03;38464,84;37784,23;45986,52;41763,14;50879,25;43013,40;30489,13;39155,78;48829,52;23185,33;38963,84;15284,92;27214,53;46176,06;19994,02;34506,35;52701,81;36882,23;31305,73;31454,87;39455,46;27187,35;-;10848,67;58850,20;55195,84;37320,36;46569,49;49372,41;47750,19;40415,76;31022,45;36931,68;37823,03;37579,69;24048,70;34804,54;28220,88;41884,63;42722,38;54631,36;48425,82;40644,16;40206,50;42685,13;28912,72;25674,82;32192,14;58477,68;40392,70;45293,63;44305,86;55113,20;47150,57;40460,80;47625,63;42114,37;38647,35;29458,16;38278,97;33500,19;31265,61;45263,74;44050,61;36425,10;39586,35;42947,22;42520,01;50012,24;36034,74;28138,39;37507,78;35805,78;34011,21;31450,38;26354,22;21858,88;18291,55;28003,50;28338,32;27899,03;32048,36;31621,77;24174,10;29878,71;5390484,33
"421050 Maravilha";49066,24;67947,82;80454,72;62098,58;61406,72;68951,76;75434,18;87980,78;59062,04;83871,01;64932,38;81633,64;95630,23;71168,22;110076,06;78213,58;61909,69;100171,31;104018,68;86229,17;74547,01;91925,07;82282,33;76167,26;77576,21;74991,69;65349,57;96345,39;81651,37;93939,99;92130,62;86749,91;79912,50;73522,68;81454,29;87906,22;80563,57;75684,53;76186,12;76774,63;65808,58;76109,88;79837,77;71375,91;82416,71;75605,06;83518,12;99943,71;100682,82;97603,08;95908,68;75280,94;89483,91;110524,45;109191,24;115669,02;144368,70;111243,82;119887,27;108419,35;100278,66;131841,10;133211,36;200715,50;217961,68;138785,64;214123,32;217432,87;221362,76;225221,69;202563,20;249508,04;178315,59;223239,54;198744,89;185560,51;196517,51;180635,01;165757,11;240366,83;220514,39;258230,57;183652,98;199132,09;217244,27;212891,84;225325,02;225626,24;187997,62;236728,11;248951,33;158138,84;333590,97;250688,52;254733,99;203342,99;298422,26;240697,20;151609,32;297358,82;228406,61;240038,31;225889,54;239487,43;225857,72;232585,61;257312,99;263587,04;202120,37;204613,34;218525,99;201666,38;225136,46;227021,72;215336,58;261651,64;216125,30;214225,32;201370,21;166617,46;160724,02;242674,29;200491,14;191504,59;227688,37;265785,23;258383,26;297111,96;339563,45;196366,88;296251,02;220127,40;272489,69;244915,46;160374,87;347289,51;175422,29;337299,49;274914,40;248490,39;244857,02;293649,61;278271,77;254251,71;297058,08;237692,25;298799,25;186917,56;225322,09;233231,97;243514,66;191890,32;261678,00;268155,56;293429,48;375061,85;281331,88;350212,39;340876,54;28097462,69
"421060 Massaranduba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4078,66;3373,36;19329,56;-;16477,74;11038,66;8196,14;1420,42;8913,60;14657,12;22970,76;25104,11;49783,86;45843,82;54403,17;69404,24;75656,61;72565,13;37313,84;11844,81;35478,83;34471,18;82872,20;49640,91;8856,43;-;-;-;14546,72;22028,55;34738,85;27379,24;11914,10;20201,87;17726,56;31607,14;25799,35;23984,80;31051,14;20492,02;11230,65;34874,64;20537,26;11751,38;18063,82;21218,31;15980,74;7357,82;6945,20;12514,96;9077,36;15343,99;16632,99;34668,27;16071,85;19617,20;21115,83;18228,70;5711,08;1362107,55
"421070 Matos Costa";-;1287,41;1996,28;7262,14;6862,36;7883,58;7954,58;7693,83;4356,67;5584,30;3394,36;3948,21;-;-;4825,88;2582,01;7031,40;-;1980,98;5191,33;3331,88;-;3664,02;-;4646,85;1178,65;4096,74;3190,53;5191,68;2387,43;2585,62;3457,56;-;8671,43;2268,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124506,41
"421080 Meleiro";23845,82;25033,83;22998,99;29668,15;19215,00;25985,53;31905,05;31979,09;26922,42;27700,12;24063,44;25731,55;25075,03;22192,50;27317,11;27897,23;23957,87;32726,73;33481,07;37158,98;37137,65;34365,92;34830,81;37912,76;24468,69;35557,18;38038,54;33311,33;29850,86;34773,98;32640,91;34094,76;28457,71;27367,77;28231,64;41909,05;20756,08;29529,15;27687,34;29473,72;30033,45;28420,37;28373,96;30059,44;34070,58;43590,13;41510,66;52586,53;49180,21;48688,63;41559,77;41670,07;51052,29;40844,50;50784,91;40662,18;43965,58;57377,93;67920,46;84144,45;67117,73;63602,00;83472,73;108556,93;110411,94;78122,72;70825,77;88807,99;99135,18;89749,11;66036,46;73560,20;77892,56;89913,98;91867,25;85582,33;101336,65;122586,16;94671,16;113401,03;88736,44;85855,09;90475,61;80382,01;81177,84;92549,05;124109,14;96753,80;107437,93;121715,81;90725,68;120594,66;79437,08;99528,71;78271,62;59325,98;67128,84;73983,19;82000,07;74001,26;86555,51;75965,94;63219,37;77406,03;66359,39;77649,05;66023,15;49813,90;27400,97;19888,65;42200,28;61010,98;41554,54;38504,77;39235,74;33620,13;23708,29;22700,79;60036,61;51968,74;44800,44;37467,72;20721,80;30656,12;36070,09;38696,84;44720,32;39967,43;28744,83;28464,86;44226,10;39138,00;25112,54;23327,85;28645,94;6818,26;68123,22;90090,06;131134,37;69036,28;87503,90;138945,07;180538,55;107530,91;92459,77;164016,45;93728,68;20936,84;17232,55;30335,88;82905,23;41701,78;42407,45;78130,85;69289,36;102947,51;68816,46;32075,77;84029,92;9098905,98
"421090 Modelo";-;3011,05;9318,96;30049,41;7511,45;13291,77;19531,08;14612,16;12467,15;9815,69;13701,37;14643,34;13312,83;10712,56;9405,20;10309,72;14129,11;12941,11;15889,10;18855,37;18925,49;20157,00;11736,51;13460,09;15917,71;14710,97;14189,76;6092,44;8151,32;14226,35;19750,76;18971,86;15330,72;13607,56;13554,54;24516,95;15983,95;13869,55;20247,56;15642,65;14143,06;12370,26;14710,84;14006,79;14269,05;19564,83;12726,50;11200,85;11566,15;11123,56;13400,93;16548,49;17740,13;14588,90;16995,33;23763,42;21634,63;12931,34;16666,88;3684,67;14589,51;7918,65;8615,20;10221,57;9051,83;15281,32;14195,50;12714,69;11302,03;14772,92;9252,21;2217,12;11256,52;7128,92;6005,88;4518,69;4509,91;5391,49;5273,77;3554,04;3769,75;4532,38;3112,93;1769,24;5090,45;9905,96;21046,29;19519,40;23694,05;17593,32;20351,42;10759,83;16785,20;21669,84;7065,00;2607,10;1015,42;287,76;-;20127,90;19676,05;21306,89;17879,82;24239,72;24283,37;18186,75;20817,81;20649,26;17905,60;25492,83;26993,60;27446,28;29884,01;29908,04;33712,49;36602,64;33755,95;37162,55;42918,02;31655,48;27778,46;23990,80;33632,63;30816,99;26850,30;25692,02;27236,21;26548,13;24757,37;24244,29;26198,24;26772,80;24820,02;18542,31;20771,05;16986,14;26141,52;27017,31;24301,93;20962,42;23060,48;17509,28;20515,55;17672,16;17563,00;17556,37;19517,19;14721,15;18174,82;15428,02;14068,69;20282,61;19080,08;14260,32;17002,86;15879,55;13469,22;9765,23;69308,41;2664036,88
"421100 Mondaí";12120,83;14978,95;12573,40;10879,55;13688,41;15479,75;17861,18;13251,76;13485,82;11818,50;10551,01;9943,96;15515,55;10746,76;15414,11;12139,05;13348,77;12615,60;14617,68;17367,36;14665,90;16390,45;45878,70;23652,28;34659,23;19702,76;40843,00;23170,63;27080,53;25059,69;25678,37;32600,91;25667,25;27116,66;29684,84;28350,02;28499,80;29968,18;30986,23;35383,78;33084,32;29982,14;30833,67;33949,07;27588,59;25316,76;36797,99;29772,62;24323,06;22552,11;38749,33;36273,99;33435,32;39304,35;37305,95;43078,44;38103,20;25549,58;14873,48;26314,10;33805,47;31447,72;30387,35;39535,52;39855,56;43506,18;41819,21;30597,41;31227,70;51986,22;34662,88;35503,03;37840,08;34397,64;31769,97;34659,25;45932,11;43502,68;33209,06;35418,63;37287,66;41624,05;40283,33;44717,44;31743,69;38490,95;44915,26;44786,66;36939,21;35484,56;45636,70;41006,69;39451,74;45963,65;42121,60;44480,76;44704,02;38713,50;25323,84;42798,19;43119,44;29965,67;39232,95;34772,25;30552,57;36900,10;30407,07;35810,73;35930,44;28471,84;37221,26;38381,67;35953,89;34317,78;31388,04;37444,13;38768,46;39879,11;36946,14;26422,65;30683,74;31448,22;35625,27;31298,89;30525,04;40569,69;37377,17;6126,73;66468,23;36610,28;34233,65;34383,46;39063,18;30672,57;29740,62;42337,95;30694,79;39670,50;39178,99;36963,75;34213,65;30376,32;38376,92;31681,17;29112,86;47135,28;39232,56;36006,18;31085,82;39970,38;30308,37;34466,64;35810,07;32524,27;31746,05;32854,96;35860,08;32092,97;120979,20;5157555,11
"421105 Monte Carlo";-;13871,94;13850,17;18754,68;19340,01;13308,11;10986,33;11402,55;10938,80;8989,59;16651,88;10960,79;6267,60;10018,18;9398,24;8734,34;10600,60;10481,39;13512,70;19445,52;6406,62;18637,44;9057,84;11009,60;1747,26;13395,66;2912,10;12347,86;14560,50;14677,54;8153,88;-;16890,18;10483,56;6406,62;-;-;7571,46;5241,78;8153,88;-;3494,52;6989,04;4659,36;5824,20;8736,30;5824,20;3494,52;1747,26;-;5824,20;-;12039,93;7571,46;-;829,31;5003,04;3855,32;4045,03;-;4302,10;-;4076,94;6727,86;4754,89;9983,11;8105,87;7961,13;-;6835,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;537851,98
"421110 Monte Castelo";2085,99;13471,43;12321,41;14996,76;12686,52;14237,56;11827,77;15966,08;13860,87;8671,10;11918,00;12191,85;9767,86;11286,66;13569,90;12738,84;12591,04;11216,79;13479,98;15717,40;16273,78;19373,27;5752,24;7444,75;5210,65;8447,49;10999,10;17717,13;15757,55;16930,83;19866,32;22592,42;19052,55;19014,54;13893,05;22756,13;25301,93;19907,73;23439,33;24299,06;12781,33;22135,99;34297,62;30409,77;29827,11;31283,07;32303,31;31207,27;18822,28;16732,90;12561,92;23129,25;21619,17;20672,59;16878,92;19037,99;23498,68;7570,93;21758,75;5839,65;16899,90;11747,48;24965,14;24050,34;43322,08;-;35793,78;41849,00;42295,89;38092,45;48356,35;36372,66;29331,98;37471,39;46961,80;45472,70;45981,79;50854,65;38209,59;54921,12;63168,34;75219,01;62500,07;43671,70;65720,44;63564,25;70350,43;48232,89;61403,29;70022,54;50233,12;61292,51;61081,16;50248,08;67118,82;56709,33;59986,83;64552,50;59470,27;67787,72;60111,63;57841,29;51343,68;62046,85;1425,00;35337,12;121274,27;63047,47;64582,69;61925,08;64657,79;43579,11;99789,28;70485,53;57293,81;92131,61;80733,11;76707,12;81892,50;71129,30;5378,75;97564,45;79012,70;79085,31;85472,79;60560,75;81662,05;50306,89;55932,46;59413,26;69674,87;15718,94;69819,14;28440,43;61507,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5163169,75
"421120 Morro da Fumaça";51569,39;68823,72;75441,62;68566,12;52479,19;74060,23;66373,48;51829,19;75417,99;65485,78;59219,36;73295,93;72583,93;69730,74;70138,23;67060,42;74560,54;63198,69;68053,62;79255,75;81032,98;67027,24;59455,08;71763,77;75827,96;54162,69;71791,61;78299,23;55359,85;66046,55;55631,28;61373,53;62767,88;50656,33;53374,24;61508,22;49798,45;54565,83;50043,55;51166,16;64031,44;54220,01;64541,38;64989,16;93456,29;68654,05;56361,48;71480,43;60569,55;75228,71;74463,19;76141,30;89637,73;81716,55;106737,21;72979,95;90606,18;93193,45;87284,56;86629,81;84129,27;83672,08;90387,96;91645,29;83933,82;98839,72;114525,44;110073,29;110924,96;115248,33;117862,45;96960,17;80018,33;94218,26;83756,84;179818,80;132180,82;121503,65;147854,27;123782,27;134752,54;122884,85;117684,98;117121,50;98708,98;81384,45;108256,73;111150,51;124532,77;125338,77;105564,02;160540,61;126140,44;110538,66;109759,79;98061,29;95966,25;84963,81;103795,48;104751,04;102746,97;106118,62;107921,92;100263,00;105741,93;102699,18;95181,77;93153,30;94292,98;92672,52;91855,99;94184,03;104682,90;96838,95;144395,04;145800,93;146545,93;92497,41;216227,27;156721,55;155579,40;138381,31;136125,68;91445,43;195664,18;182480,66;167380,45;161346,88;146582,31;140763,08;125745,21;127067,52;117744,06;104862,73;143067,05;153634,94;165251,94;171817,79;171171,74;132736,74;140654,17;169388,76;158790,45;135403,50;135889,22;126554,71;112420,11;93232,55;46854,28;58295,67;72169,62;135186,48;127777,90;121772,59;109396,15;180902,69;152163,09;112517,99;127669,58;16051383,07
"421130 Navegantes";43374,28;53799,29;61270,94;72261,64;64758,35;63762,46;62915,37;69289,68;75013,65;67881,49;71631,57;63092,74;61839,07;45347,96;107719,64;47966,07;98961,20;78308,75;78666,24;90261,56;86927,47;90713,83;75126,29;70923,34;63054,73;74913,65;94356,76;90902,91;96557,99;90745,33;90797,16;77798,10;90462,59;85628,71;87964,04;61919,28;69595,82;64853,75;86677,92;67819,61;80031,63;82954,28;83641,66;85447,13;82168,16;98315,89;93743,66;87336,95;90474,43;74481,70;105044,16;118887,72;109813,91;103406,20;106400,81;114592,69;99873,71;88827,28;81523,04;78401,26;92692,42;74068,45;81620,15;91152,14;90883,93;83545,01;87521,02;87534,34;101717,72;130061,59;136625,52;93428,18;131271,41;134554,12;119751,74;146098,35;147684,79;138578,27;124088,58;122495,65;128684,66;147588,73;130457,37;72136,78;74220,50;71264,50;77273,65;91745,40;106564,82;77774,36;37696,97;-;-;83214,21;54468,90;62573,42;58488,25;60622,83;61292,36;81765,28;86890,95;87529,83;87490,28;86014,58;80998,32;71977,46;52848,01;55860,68;81606,29;59363,17;76023,74;72678,08;72650,56;72715,00;82983,39;79972,06;80639,84;76146,18;72180,65;88002,02;78057,33;73888,15;79623,38;80611,09;85216,76;87035,55;100306,47;119776,88;110069,21;111773,36;108166,68;125959,46;76755,89;88233,84;106803,66;111112,73;129588,02;113128,16;116214,35;87793,51;109704,77;99792,43;84703,60;66787,34;88696,42;87847,39;76252,37;95323,02;69081,43;78371,13;99022,59;97988,56;85618,07;74170,42;75127,83;-;-;-;-;13357606,81
"421140 Nova Erechim";15228,38;5499,59;10207,97;8702,54;9661,77;7719,45;10334,30;14037,46;8446,67;9510,61;11608,20;10512,68;10185,92;8039,52;9038,92;11440,63;13781,14;9919,12;10644,40;14281,00;13299,11;17236,63;8957,66;15909,51;11987,74;8277,28;9327,20;12034,80;10180,81;8870,47;10024,45;12656,29;13734,48;16668,60;10217,22;14278,09;11056,34;8249,94;10448,90;10693,61;9805,97;10793,09;13124,01;9199,99;9739,77;7004,19;10269,29;8116,96;10058,24;8526,44;10700,80;9208,61;7780,56;11045,11;8134,35;22818,90;8857,80;10697,95;10071,46;11907,26;9195,42;10727,39;10562,65;12254,12;9291,61;13832,55;10761,74;13364,70;11363,87;9708,08;10646,44;8458,60;8890,33;9954,69;12390,82;8414,86;11413,73;22163,53;9708,06;12782,85;13757,91;17413,83;15464,80;13543,29;8710,35;8982,43;14825,87;15630,75;14909,75;9522,38;12446,04;11499,20;20230,06;14408,77;19027,41;12383,25;12908,41;17102,05;16699,58;17402,14;18286,25;19063,77;17364,81;13234,59;19526,78;15294,36;15279,15;13567,13;15945,62;15056,41;17388,47;17180,82;17790,19;18246,15;15037,69;16855,71;17452,77;14713,11;16128,23;12786,41;15122,87;14616,96;11926,04;13088,30;13158,62;13091,85;13835,64;34101,87;32906,59;33484,50;25546,30;28036,28;19747,73;26431,60;32159,36;33305,16;48550,15;22500,17;46081,69;63971,04;51595,08;45425,34;38735,23;27307,66;27634,65;55329,17;43465,34;5327,59;10235,35;64411,67;77650,11;48360,95;80397,92;123051,18;110457,70;67310,60;14377,14;33907,10;5675,31;2962040,69
"421150 Nova Trento";19405,16;6942,27;15586,10;12072,01;13735,36;11175,22;12501,84;23966,01;12444,17;5440,13;7114,09;12786,61;14621,82;22741,60;31012,48;20842,29;19565,68;25114,73;25475,15;25884,56;35145,55;35096,99;23772,18;17534,97;25261,75;28072,31;30107,30;30469,17;18883,60;17165,77;20717,46;24776,12;18121,45;25458,35;27143,13;58921,68;18848,17;31370,52;23494,29;13492,09;11430,71;18565,82;14415,31;18144,99;22755,04;20227,11;24485,75;27962,60;19021,39;20492,79;21723,67;18728,67;16173,86;19897,51;18875,73;30094,15;18553,11;23966,69;27475,79;22148,72;21133,19;19699,89;31312,11;23139,39;27137,39;21378,88;35686,06;32142,68;28260,84;20111,27;28435,95;74272,84;37412,48;35014,80;64724,83;44047,75;71133,29;84748,41;113704,29;102217,45;114765,55;94037,99;194004,63;159157,78;43261,20;42171,68;63504,62;132932,60;82751,73;94702,55;232681,48;165528,56;137578,86;125648,22;76583,39;50704,22;56317,35;58818,58;33654,24;47963,14;59182,67;136705,18;93231,27;148354,72;167451,22;176627,11;101998,42;55975,77;28421,17;41435,53;47329,03;48412,13;59314,45;137021,54;97915,80;85433,03;142458,67;138496,48;14980,88;56860,01;136479,86;90203,84;109292,14;141908,19;66890,07;45877,03;33237,94;107903,46;25021,99;19823,94;44984,51;29113,49;34721,01;28839,55;53296,30;99485,02;48392,55;81730,73;88444,64;75590,39;57487,72;75400,91;80881,17;23809,74;18773,52;47876,40;55859,80;8876,13;21356,77;24973,96;51718,84;27736,61;43327,25;57343,35;182706,52;225082,08;47258,16;32397,05;128978,02;8610587,43
"421160 Nova Veneza";51963,82;59405,78;58347,57;59174,89;50517,46;71615,21;65893,88;53460,91;57835,23;56282,04;65402,88;66936,99;59653,79;56152,03;76149,16;57986,59;65687,42;78844,62;72655,13;81673,13;102426,69;96487,25;80862,21;63146,88;55512,66;51226,11;37640,71;51732,22;57426,36;52158,18;58727,36;57355,49;56208,40;47051,77;44522,38;37900,34;44551,78;44425,18;54172,22;60778,14;55994,34;49529,91;60127,45;52423,55;59444,62;50013,26;57713,56;34882,95;49525,98;37217,93;56855,70;53994,53;42978,99;78257,15;84521,10;71031,58;41730,11;62616,37;32877,36;50022,12;40496,96;44538,20;70793,19;80128,21;68116,54;77488,47;65842,07;64373,25;66121,16;56601,68;48553,52;31988,16;49635,33;38621,21;54916,94;35656,39;38804,41;29973,01;51799,58;45437,75;50867,89;47522,73;36323,08;39061,89;30789,87;19137,16;55822,41;37435,91;58500,20;45492,40;68075,15;82585,70;52108,18;70823,54;88507,34;65125,67;45163,31;41478,30;55858,94;57062,57;38365,40;65414,48;57999,56;30803,23;56663,54;59906,81;42129,37;24226,82;12659,06;15242,17;-;-;-;-;-;-;-;-;17996,79;43243,15;31761,24;29787,51;20043,10;37411,50;33309,59;35489,54;57199,30;63261,63;42002,89;103816,38;87619,39;30598,20;62803,05;16625,78;16130,38;3319,61;55181,37;18223,58;2775,39;37913,34;22546,10;5164,07;2236,06;5533,58;4046,85;6954,40;7270,75;2226,04;11335,93;11493,60;10321,95;3925,52;3023,02;21579,75;19680,96;11704,91;18599,45;18893,59;5803,13;7051600,50
"421170 Orleans";33650,40;34183,24;33054,54;42625,49;36001,21;34588,10;33466,47;35468,24;31030,50;41325,42;39943,06;35503,17;19350,52;25622,85;31453,31;31230,67;41031,75;33316,13;40315,22;36825,66;39024,85;41052,50;40729,41;-;20177,00;18736,72;26646,36;33676,32;32094,70;36223,97;37843,82;44150,90;38007,25;31824,95;31352,69;24984,48;27213,55;31539,13;25639,54;34173,68;38749,90;31748,07;43664,90;42915,47;43492,11;50174,07;46901,29;37298,17;35819,47;42190,98;47750,34;41608,31;49276,67;51454,52;52189,73;47433,83;54038,53;58446,87;48730,70;47522,87;40837,91;32405,77;46117,62;21682,20;46684,52;41063,41;48035,10;48041,45;49221,78;46058,88;36229,20;37246,40;30935,20;36797,23;50269,80;37300,28;43269,99;42270,17;51028,84;44945,61;49786,26;40259,73;36508,05;35685,73;27330,19;37803,71;37796,15;48185,18;44200,08;45962,05;52767,19;48216,66;56702,56;54921,67;51887,38;51545,88;38102,87;32385,67;45656,10;44971,34;49060,25;41087,51;50117,39;46904,42;39062,40;42889,02;36109,04;27364,97;24035,09;22455,67;44415,26;49777,10;41056,37;47326,70;47443,31;45822,98;53683,13;49507,42;55720,28;50792,48;58686,38;37215,94;44113,20;46218,83;44148,78;47018,20;59865,41;60175,96;40014,27;49376,00;63494,78;44503,86;53441,18;48698,07;41827,05;53146,39;51888,85;28777,90;53556,23;45914,33;40926,31;42909,39;48874,24;38862,51;32011,95;37931,93;42463,45;32374,54;26404,82;33892,49;64192,94;67818,78;71176,59;56058,45;53501,45;123478,61;100809,01;51921,12;68076,06;6797997,42
"421175 Otacílio Costa";-;27055,98;28518,65;23823,80;27397,64;26150,26;29160,12;26073,48;18718,69;37362,34;24980,96;24006,91;17123,73;17877,32;27105,89;27400,12;25631,98;32921,18;34256,38;31860,06;28114,54;27575,38;24984,84;23823,64;17591,28;21124,10;17306,02;20738,60;18635,61;16400,15;13401,92;29534,46;18223,27;16967,85;18287,10;32044,89;10419,98;16883,36;19449,27;21246,32;24553,24;10641,33;12892,17;36466,64;38277,89;32456,73;25778,39;1295,49;39608,95;23670,20;24120,16;26522,52;19402,00;24136,31;38825,25;26820,78;37682,65;26572,08;19442,75;2085,97;10208,64;17648,31;12864,23;11580,19;17917,81;23156,23;20600,46;25160,78;27447,20;22889,96;22167,68;3569,65;9924,67;18284,05;25478,55;13610,74;26211,65;21053,32;21784,42;18628,84;17578,64;28707,88;16263,19;15723,30;25702,64;18435,20;29865,00;32581,98;28269,75;32887,95;41944,77;27891,58;30278,80;31130,46;32995,08;15766,80;21019,96;26329,20;26056,77;35650,40;24942,96;34187,03;28249,21;33989,23;14843,19;36753,98;33975,34;21178,55;32127,64;44082,55;30453,13;27771,00;23775,38;30079,86;27937,26;16735,13;19030,11;17130,86;29384,15;6495,49;2931,17;15762,67;18805,69;17806,07;20443,44;33984,26;21822,62;27309,62;11844,79;18820,67;21064,66;25346,98;27524,58;21590,30;14104,03;17936,10;10709,53;25752,74;10405,83;16346,18;25420,23;57730,71;30133,76;25090,81;23878,39;11330,45;14152,08;16941,34;11360,36;15117,47;22787,02;18719,00;30112,63;28066,83;28211,27;22799,52;30299,67;25829,48;123427,71;3791539,01
"421200 Palma Sola";23043,50;31841,53;44843,12;34303,38;34710,21;37734,66;38336,29;32620,49;39637,74;33275,19;32931,36;37259,10;34981,08;34440,94;36807,28;36103,85;37714,90;37526,72;33608,13;36807,35;38870,88;37579,65;36024,35;38098,83;31944,17;33533,41;35199,98;35823,85;40297,51;42189,62;39120,06;36941,78;35647,14;42974,82;37634,30;46242,90;34548,23;38626,56;35038,84;36638,05;36433,71;34821,33;27806,38;39274,24;41514,04;35030,74;35402,97;35192,51;37708,95;38082,66;37297,87;38553,71;40884,94;38443,48;40095,86;39110,98;37966,00;34945,16;37275,06;35573,72;24473,56;32343,06;28569,11;31530,66;34416,06;31663,96;33829,78;32161,60;32151,07;33124,68;30914,14;30896,37;33834,16;41947,41;33638,77;36201,10;40742,84;28198,56;54951,05;79230,94;70956,36;71981,58;52267,83;30522,93;71311,47;52816,08;61439,25;47294,70;53371,38;62589,20;66854,24;60984,97;57913,38;55623,86;44304,45;51838,55;35660,43;37890,39;41405,04;62832,93;60081,22;81819,80;75712,72;67638,06;73571,53;77938,35;117183,96;68775,48;79119,43;59340,21;74097,72;58029,76;69785,85;72208,12;99375,34;84877,37;81432,59;58993,52;70348,75;55197,56;53174,29;51942,52;54748,65;69925,38;73495,70;72976,37;93742,88;76338,18;66724,76;70879,24;70824,18;56849,88;61657,39;47034,20;33558,15;41651,18;69873,36;80514,56;74143,96;67752,69;69958,71;74287,97;41368,87;55713,28;46655,81;51987,24;53576,21;24537,64;23347,67;30240,32;29519,67;32288,16;22936,49;32699,08;30841,18;22765,88;20115,15;13072,80;44707,81;7511548,76
